DocumentNumber,County,Narrative
20223048055,Franklin County,Unit 2 was waiting in the drive through at McDonald's located at 1020 Alum Creek Drive when Unit 1 struck Unit 2 on the driver's side rear door causing minor damage. The driver of Unit 2 stated that he attempted to gather insurance information from the driver of Unit 1 who stated they did not have insurance. The driver of Unit 2 stated that he told the driver of Unit 1 that he was going to contact police to make a report and at that time Unit 1 fled the scene going north on Alum Creek Drive and then east on Livingston Avenue. The driver of Unit 2 was able to take a picture of the temporary tag that was affixed to the inside of the rear window in the upper left corner.The staff at McDonald's stated to the driver of Unit 1 that they have cameras in the drive through however a day manager would have to access them. The driver of Unit 2 was given an Incident Card with the report number and instructed on how to obtain the report.
20223054870,Franklin County,The driver of Unit #2 stated she was leaving the McDonald's located close to the intersection at Alum Creek Dr and E. Livingston Ave trying to exit the parking lot heading west bound to turn onto Alum Creek Dr.  The Driver of Unit #2 stated as she was leaving the parking lot and heading onto Alum Creek Dr the Driver of Unit #1 was speeding and heading north bound on Alum Creek Dr just before the intersection at E Livingston Ave.  The Driver of Unit #2 was then hit by the Driver of Unit #1.  The Driver of Unit #1 fled the scene after the accident heading north bound on Alum Creek Dr. and turned east bound on E. Livingston Ave.  The Driver of Unit #2 was not able to get a license plate for the Driver of Unit #1.  The Driver of Unit #2 was treated at scene by CFD Medics and released.  The Driver of Unit #2's vehicle received disabling damage and was towed away from the scene by the tow truck company listed.  Since the Driver of Unit #1 fled the scene no citations was given as a result of the accident. 
20223057259,Franklin County,Unit #2 was traveling S/B on N Cassady Rd in the right lane north of the entrance ramp for IR 670.  Unit #1 was traveling N/B on N Cassady Rd.  Unit #1 made a left turn into the parking lot of McDonalds located at 1455 N Cassady in front of Unit #2.  Unit #2 was unable to avoid and struck Unit #1.  
20223059341,Franklin County,Driver of Unit 2 was headed S/B on N. Cassady Ave in the right lane. Driver of Unit 1 was headed S/B on N. Cassady Ave in the left lane (turning lane). Driver of Unit 2 stated that he was ubering and headed S/B on N. Cassady Ave and Driver of Unit 1 got over into the right lane. The Uber passenger (Witness) stated the same thing Driver of Unit 2 stated. Driver of Unit 2 stated that after the cars collided; both drivers pulled their vehicles into the McDonalds parking lot. The Driver of Unit 2 stated that when he took a picture of Unit 1's license plate; driver of Unit 1 drove off. Driver of Unit 2 stated that Unit 1 driver was a young MB. Unit 2 had damage to the driver side door along with red paint transfer.Neither the Driver of Unit 2 or Witness needed medical attention. Officer viewed the picture from phone to receive the license plate. The plate came back to a 2018 Red Lincoln OH tag JDL3998. Officer went to the address of the registered plate and Unit 2 was not at the scene. 
20223064471,Franklin County,The driver of Unit Two stated he was in the left turn lane on Blazer Parkway at the intersection of Tuttle Crossing Blvd.  The driver of Unit Two stated as he turned left onto Westbound Tuttle Crossing Blvd. Unit One; who was next to him in the lane to go straight through the intersection; merged into his lane and struck the passenger rear of his vehicle.  The driver of Unit Two stated he stopped his vehicle in the intersection and himself and the driver of Unit One both got out to look at the damage.  The driver of Unit Two stated he told the driver of Unit One to pull into Chipotle but he would not do so.  The driver of Unit Two stated he took a picture of te license plate of Unit One and told the driver to follow him so they could get out of the intersection.  The driver of Unit Two stated he got onto Interstate 270 Eastbound and somewhere on 270 Unit One stopped following him so he never got his information.  Reporting Officer made contact with the driver of Unit One at his registered address. The driver of Unit One stated he was on Blazer Parkway in the lane to go straight across Tuttle Crossing Blvd. when he decided to go left so he put his turn signal on and got over but when merging over he struck Unit Two.  The driver of Unit One stated he and Unit Two both stopped in the intersection but they were getting yelled at by passing cars for stopping in the interseciton.  
20223069235,Franklin County,Unit #2 was traveling from East to West in the left straight lane on Stringtown Rd. Unit #1 was exiting the Wendy's drive thru lane onto Stringtown Rd. turning left; from North to East. Unit #1 failed to yield the right of way when exiting from the private drive and struck Unit #2 in the right rear. Unit#1 was cited for Fail to Yield from a Private Drive.
20223072085,Franklin County,The operator of Unit 2 stated that he was traveling eastbound into the parking lot of McDonalds coming from N. High St. The operator of Unit 2 stated that after he pulled into the parking lot Unit 1 driven by a male white early to mid 20s was backing up southbound  from a parking spot on the northern area of the parking lot and struck Unit 2 on the rear driver's side. The operator of Unit 2 stated that as he got out of his vehicle after the collision Unit 1 fled the scene of the crash northbound on N. High St. No injuries were reported. Unit 2 stated that Unit 1 was bearing OH Tag JOB4283. The operator of Unit 2 gave the tag and the decription of Unit 1; and upon follow up the reporting officer was unable to make contact with anyone and did not see the listed vehicle.
20223072415,Franklin County,Owner of Unit 2 stated on 4/23/22 she was a passenger in Unit 2 while it was in the drive-thru of Wendy's at 739 Bethel Rd.  She stated Unit 1 was behind them in the line when the driver of Unit 1 attempted to pull out of line.  Unit 1 struck Unit 2 in the right rear bumper area with the left front of Unit 1; causing minor damage.  Unit 1 stopped momentarily; but then proceeded to leave the scene.  Owner of Unit 2 was able to take a photo of Unit 1's license plate and give a description of Unit 1.  Per the photo produced; Unit 1's OH tag was JSU3423.  LEADS showed that tag coming back to a vehicle that matches the vehicle in the photo.  
20223073333,Franklin County,The driver of Unit #2 stated she was facing south in the drive thru of McDonalds and was sideswiped on her passenger side by Unit #1. The driver of Unit #2 stated she honked at the driver of Unit #1 who appeared to be looking in her mirror and laughing. The driver of Unit #2 stated it appeared the driver of Unit #1 was being chased but was unsure. The driver of Unit #2 did not report injuries and Unit #2 was driven away from the scene. The driver of Unit #2 took a picture of Unit#1 which was a Honda Odyssey and provided a license plate of HUP9869. Follow up was not conducted due to the location being off precinct. 
20223073400,Franklin County,"On the listed date and at the listed time and location the unit 1 vehicle was travelling North on High St and passed his destination. Unit 1 driver stated his GPS advised him to complete a ""U"" turn. Unit 1 driver stated he turned East onto Colton Rd and then attempted to South into the Burger king parking lot. Unit 1 driver stated as he was attempting to turn into the lot; he struck a light pole and knocked it over. After speaking with responding Officer the Unit 1 driver backed the unit 1 vehicle back onto the roadway and left the scene. "
20223074471,Franklin County,On 4/28/2022 at approximately 6:22 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 121 was dispatched to 1283 E. Fulton St. in response to an auto accident hit skip with injury. According to the caller; who was later identified by her Ohio drivers license as Debra Dukes; she was struck on the freeway and the at fault driver fled the scene. CFD medic 815 arrived prior to officers arrival and treated the victims at scene. Ms. Dukes advised Officer McDonald that she was slowing in traffic on the freeway. Ms. Dukes stated that the driver of unit #2 struck the rear of her vehicle. Ms. Dukes stated that the driver of unit #2 got out of his vehilce and ask Ms. Dukes if she was okay. Ms. Dukes stated that when she responded that she was injured; the driver of unit #2 fled the scene. Ms. Dukes described the driver as a male black approximately fifty to sixty years old. Ms. Dukes stated that she was unable to get a license plate for unit #2. Ms. Dukes was issued a incident report and advised to contact her insurance company. 
20223074715,Franklin County,Unit 1 and Unit 2 were driving southbound on SR 256; near 1885 SR 256 (Burger King).  Unit 1 was driving in the right lane; and Unit 2 was driving in the left lane.    The driver of Unit 1 stated Unit 2 drove into their lane; causing a side swipe crash.  The driver of Unit 2 stated Unit 1 drove into their lane; causing a side swipe crash.  There were no witnesses to this accident; and no cameras in this area.  I was unable to determine who was at fault.
20223079568,Franklin County,Unit #2 was leaving the lot of Dire Dawa Grocery (4517 E. Main St) to turn left onto E. Main St.  Vehicles in the E/B through lane and curb lane stopped to let Unit #2 out.  Unit #2 turned into the center turn lane after passing through the stopped traffic and struck unit #1 that was E/B on E. Main St in the center turn lane attempting to turn into the lot of Arby's 4484 E. Main St.  Unit #1 and Unit #2 collided in the center turn lane.
20223079963,Franklin County,Due to a lack of evidence at scene; Unit 1 was in the parking lot of the Taco Bell at 6970 E Broad St when it either drove forward or backed into the front entryway at a high rate of speed.  Unit 1 then drove off n/b out of the parking lot.  One employee of the Taco Bell said it appeared there was a male driving the vehicle but could not provide a description.  The employee said that Unit 1 appeared to be a brown Buick LeSabre.  There were no cameras in the parking lot to caputre the license plate of Unit 1 and none of the employees were able to see the license plate before Unit 1 left the area.  CFD Engine 5 responded to the scene and secured the doorway and verified its structural integrity.  There were no reported injuries.
20223082708,Franklin County,On the above date and time Unit # 2 was operating North bound on S. Hamilton Rd.  Unit # 3 was operating South bound on S. Hamilton Rd.  Unit # 1 was exiting from the no name McDonalds private drive and wanting to turn left or South bound.  Unit # 1 failed to yield to Unit # 2 and the first crash or impact occurred.  Unit # 2 was then moved into the South bound lanes of S. Hamilton Rd. and struck Unit # 3.  At the first impact Unit # 2  had no control when momentum caused his vehicle to strike Unit # 3.  Unit # 3 was struck with such force that Unit # 3 was pushed off the road and down into a ditch on the West side of S. Hamilton Rd.  Driver of Unit # 1 stated that he did look both ways.  Unit # 1 stated that there was a vehicle turning into the McDonalds drive from South bound S. Hamilton Rd. that blocked his view from seeing Unit # 2.  The driver of Unit# 1 pulled out of the private drive and failed to yield to Unit # 2 causing the chain of events and the crash.  Unit # 1 was issued a citation for failure to yield from a private drive.  
20223083065,Franklin County,Unit 1 was traveling South on James Rd towards E Main St. Driver of Unit 1 stated she was merging into the left turn lane to go East on E Main St when Unit 1 pulled out in front of her from the Wendy's parking lot on the West side of S James Rd. Driver of Unit 1 stated he was pulling out of Wendy's onto S James Rd. Driver of Unit 1 stated Southbound traffic stopped for him to pull out; when Unit 2 went around the stopped vehicles and struck him in the Eastbound turn lane of S James Rd. Driver of Unit 2 was transported in stable condition by CFD Medic 23 to Mt. Carmel East ER to be treated for minor injuries. Driver of Unit 2 was cited for driving under suspension and Unit 2 was impounded to the CPD Impound Lot by ProTow. Driver of Unit 1 was cited for failure to yield. 
20223083163,Franklin County,On 5-9-22; the driver of Unit #2 stated that he was stopped in the drive through at McDonald's facing northbound.  Unit #1 was stopped in the drive through in front of Unit #2 and backed into Unit #2.  The driver of Unit #2 spoke with the driver of Unit #1; who he described as a male; black wearing a red suit and red shoes.  When the driver of Unit #2 attempted to exchange information; the driver of Unit #1 got in the vehicle and left eastbound on W. Mound St. The passenger of Unit #2 took photographs of Unit #1.  The reporting officer observed that Vehicle #1 was a dark grey Chevrolet Malibu with a license plate in the bottom rear windshield which was partially readable.  The reporting officer spoke with staff at the McDonald's who stated that video footage would be available during normal business hours; and that Unit #1 picked up their order before leaving.  The staff also stated that they believed the driver of Unit #1 lived in South Park Apartments. The reporting officer located Unit #1 parked unoccupied in front of 790 Canonby Pl in Southpark apartments; unoccupied; with fresh damage on the rear passenger side bumper.  The vehicle was left at scene and not impounded due to division policy. 
20223088937,Franklin County,The Driver of Unit #2 stated she was traveling West down Morse Road when Unit #1; who was also traveling West on Morse Road behind her; rear-endered her while she was stopped at the light at Sunbury Road. Both Units pulled into the UDF on Sunbury Road (4775 SUNBURY RD).  The driver of Unit #2 stated she made contact with the driver of Unit #1; and was able to write down the license plate number of the white Chevrolet Impala (Ohio tag JEH3895). The driver of Unit #2 stated she tried to exchange information with the driver of Unit #1; but D#1 fled the scene. The driver of Unit #2 gave officers a physical description of the driver of Unit #1; stating she was light skinned; in her 20s; and was wearing a Wendy's tee shirt. The driver of Unit #2 stated she had two black males in the car with her as well. Officer's checked the camera at the UDF and were able to verify the female was the driver. Officer's did a follow up at the nearest Wendy's but did not located the vehicle or D#1. Officers also followed up at the listed residence of where Unit #1 was registered to; but nobody was home and the vehicle was not there.
20223090187,Franklin County,The driver of unit 2 was southbound on Lockbourne Rd.; just north of Koebel Ave.; when unit 1; failed to yield from the McDonald's entrance and struck unit 2.  The driver of unit 2 had no information for unit 1; other than it was a gray/silver SUV.  No injuries were reported and unit 2 was able to be driven from scene.  Officers checked the area for unit 1 but did not have much information; and therefore; did not locate unit 1.
20223091841,Franklin County,On 3/2/2022 Officers were dispatched to 3275 Refugee Rd. on reports of an injury auto accident  that occurred in the Burger King parking lot between two vehicles. Unit 2 stated she was having chest pains. Columbus Fire Department Medic #4 responded and treated on scene. Unit 2 stated that she pulled up behind Unit 1 who was sitting in the drive; facing North; as if he was getting ready to exit onto Refugee rd. when Unit1 put their vehicle in reverse and began to back their vehicle; backing into into Unit 1. Unit 1 stated he was attempting to back up his vehicle and did not see Unit 2. Both Unit 1 and Unit 2 were driveable and did not require a tow. 
20223102193,Franklin County,Unit #1 was traveling northbound on International Gateway in the second lane . Unit #2 was also traveling northbound on International Gateway in the first lane. Unit #1 made a left turn from the second lane into the McDonald's parking lot. This action caused Unit #2 to strick Unit #1  in the left rear corner panel.
20223104060,Franklin County,The Driver of Unit #2 stated he got into an alteration with the Driver of Unit #1 while ordering food in Subway (2832 Stelzer Rd). The Driver of Unit #2 stated he left the store and walked to Unit #2; which was parked nearby in the parking lot. The Driver of Unit #2 stated he saw Unit #1 driving towards him and he stood inbetween two vehicles; conerned that the Driver of Unit #1 may try to strike him. The Driver of Unit #2 stated he got into Unit #2 and pulled in front of the Subway.  While still seated in the vehicle; the Driver of Unit #2 stated Unit #1 struck Unit #2 and then left the scene; traveling southbound on Stelzer Rd. A cell phone picture of a white Honda Civic with OH Tag# JGL9391 was shown to the reporting Officer; and the Officer was told that it was Unit #1. Officers followed up to the address listed for that vehicle (2446 Adonai Blvd); but did not find Unit #1; and recieved no answer at the address when they attempted to make contact.
20223105239,Franklin County,Unit 1 was driving northbound on private property; at 6323 E Main Street (McDonalds).  Unit 2 was driving westbound on E Main Street; in the left lane.  Unit 1 made a left turn (westbound) onto E Main Street.  When Unit 1 made this left turn; they failed to yield to Unit 2; causing a crash.
20223107749,Franklin County,On 6/12/2022 at approximately 12:51 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser R-120 as unit 121 was dispatched to Bryden Rd. and Fairwood Ave. in response to an auto accident. Upon arrival Officer McDonald spoke with the driver of unit #1 who was identified by her Ohio drivers license as Bernadette Williams. Ms. Williams stated that she was traveling S/B on Fairwood Ave. approaching Bryden Rd. Ms. Williams stated that she stopped at the stop sign located at the intersection. Ms. Williams stated that the driver of unit #2 ran the stop sign resulting in the accident. Officer McDonald spoke with the driver of unit #2 who was identified by her Ohio drivers license as Russhia Vinson. Ms. Vinson stated that she was traveling W/B on Bryden Rd. approaching Fairwood Ave. Ms. Vinson stated that Ms. Williams ran the stop sign located at the intersection resulting in the accident. Due to conflicting stories and no independent witnesses; neither party was issued a citation. 
20223107750,Franklin County,On 6/13/2022 at approximately 8:42 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 122 was dispatched to E. Main St. and Miller Ave. in response to an auto accident with injury. Upon arrival Officer McDonald spoke with the driver of unit #1 who was identified by his Florida Identification Card as Graves Stuart. Mr. Stuart stated that he was traveling W/B on E. Main St. approaching Miller Ave. Mr. Stuart stated that the driver of unit #2 was traveling E/B on E. Main St. approaching Miller Ave. Mr. Stuart stated that he turned S/B on Miller Ave. when he was struck by unit #2. Officer Skinner #2780 spoke with the driver of unit #2 who was identified by her Ohio drivers license as Ladeja Ross. Ms. Ross stated that Mr. Stuart failed to yield making a left hand turn resulting in the collision. Officer Skinner spoke with a witness by the name of Dequea Arnold who also stated that Mr. Stuart failed to yield making a left hand turn resulting in the accident. Mr. Stuart was issued a citation for fail to yield from a left hand turn. 
20223120979,Franklin County,Unit #2 was parked in the parking lot of the McDonalds at 5410 Renner Rd.  Customers of the restaurant advised the management that a black Chevy Malibu; Ohio JSG7984; driven by a M/B; struck unit #2 and fled the scene.  The license plate registers to PV Corp.; 3801 International Gateway; Columbus; Ohio 43219;on a 2022 Chevrolet.   
20223121375,Franklin County,Unit #1 was leaving the McDonald's parking lot attempting to make a left turn westbound on to Henderson Rd. Unit #2 was driving eastbound on Henderson Rd towards Reed Rd. Unit #1 failed to yield to on coming traffic as Unit #2 was continuing straight in the through lane causing Unit #2 to strike Unit #1. The driver of Unit #1 was transported in stable condition by Upper Arlington Medic 72  to Dublin Methods Hospital. All units in the accident were towed from scene by the owners. Upon follow up at the hospital the driver of Unit #1 was being treated for left side pain by Nurse Practitioner White. The driver of Unit #1 was cited for failure to yield from a private drive without further incident. 
20223121922,Franklin County,Driver of Unit #1 stated he was trying to turn out of the driveway of Wendy's to go westbound Renner Rd.  Driver of Unit #1 stated the traffic signal at Renner Rd and Hilliard Rome Rd was red and no traffic was coming westbound.  Driver of Unit #1 stated the eastbound traffic left a gap for Unit #1  to get out of the driveway.  Driver of Unit #1 stated he pulled out onto Renner Rd to go westbound when Unit #2 came up beside the traffic lane and struck him;  Driver of Unit #2 stated he was eastbound Renner Rd approaching Hilliard Rome Rd.  Driver of Unit #2 stated he got over to the left as the road widened to proceed in the straight lane of Renner Rd.  Driver of Unit #2 stated Unit #1 pulled out in fromt of him and Unit #1 was struck.  Responding Officer observed the roadway and traffic and found the road does widen; but there are no lane indicators dictating where it becomes more than one lane.  Due to that observation; Responding Officer did not cite either pary.  Passenger of Unit #2 was transported to Doctor's West Hospital with complaints of head; neck and back pain.  Passenger of Unit #2 was treated by Dr. Amin.
20223124518,Franklin County,On listed date; time; and location; Officers were dispatched to a non injury hit skip auto crash. Upon arrival Unit 2 stated that Unit 1 rear ended him in the parking lot of Wendy's and left the scene. Officers observed minor damage to the rear bumper of Unit 2. Unit 2 provided license plate information for Unit 1 and Officers followed up but did not locate the vehicle at the registered address. After leaving the address; Officers observed Unit 1 (3 hours after the crash) driving through the neighborhood. Officers initiated a traffic stop with the vehicle. The driver stated he wasn't driving and his cousin was. Driver could not identify his cousin.
20223130182,Franklin County,Unit 2 was stopped in the drive-thru line at McDonald's at 910 W. 5th Ave.  Unit 1 rear ended Unit 2 while in the drive-thru.  The driver of Unit 2 stated both drivers exited their vehicles and agreed to pull over to discuss the matter.  The driver of Unit 1 stated there was no damage and drove away without providing any insurance or identification information to the driver of Unit 2.  Unit 2 had a minor scuff to the bumper and was driven from scene.  The driver of Unit 2 stated Unit 1's license plate number was Ohio plate JFN9708.  The only description of the vehicle was that it was a black SUV.  The driver of Unit 2 stated the driver of Unit 1 was a European male with dark hair and a beard.  A phone number was located for the registered owner of Unit 1.  At this time; the Reporting Officer is awaiting a response.
20223136365,Franklin County,Traffic crash occurred at 821  East 17th. Vehicle #1 was exiting from 71 south to 17th and due to the vehicles speed was unable to make the turn. Vehicle attempted to turn right where it failed shooting across all lanes ran over the curb taking out the guide wire for the utility pole and crashing into the McDonald's drive through order station. Driver and passenger then fled from the accident leaving the vehicle.Vehicle was impounded.
20223140065,Franklin County,Unit 1 and Unit 2 were parked in the drive through lanes at the McDonalds located at 3411 Cleveland Ave. Unit 3 came from behind and hit unit 2. The resulting collision sent Unit 2 into Unit 1. Unit 3 then backed up from the drive thru and left the scene without stopping or attempting to exchange information
20223143431,Franklin County,Officer S. Perry #2875 observed surveillance footage of the crash. Officer Perry #2875 observed Unit #1 making a left turn sound bound into the Mcdonalds parking lot and it appeared as though the driver lost control of the vehicle while attempting to make the turn at too fast of a rate of speed. Unit #1 then struck the Mcdonalds building leaving a hole in the building. Driver of Unit #1 then quickly exited the parking lot. Part of Unit #1 was damaged and seperated from the vehicle and left behind at scene. The surviellance footage was unable to show the license plate of the vehicle. The driver of Unit #1 was a male black and there was also a passenger in the front seat as well. Officers completed a crash report.
20223147592,Franklin County,On 8-5-22 at 9:21 pm; Unit #1 was exiting 2516 Hilliardrome Rd ; Wendy's; onto Hilliardrome Rd; colliding with Unit#2. Driver Unit#2 claims neck and back pain; and was transported to Dr's West. Driver Unit#1 was cited for failure to yield.
20223153391,Franklin County,Accident occurred on the McDonald's lot located at 4840 North Hamilton Road. Witness #1 stated that at 4:30 p.m. unit #1 was going thru the drive thru at the McDonalds located at the listed address when unit #1 struck menu stand. After unit #1 struck the menu stand the driver of unit #1 got out of the vehicle and looked at his vehicle to see if there was any damage; and then left. Unit #1 was a black box truck with Ohio tag of PLH-6848 and was driven by a m/b 6'1 thin build 22-25 years of age. No follow up was attempted due to unit #1 registering to an address on the west side of the city. 
20223153711,Franklin County,"On 7/11/2022 at approximately 11:52 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 113 was dispatched to 920 S. High St. in response to an auto accident with injury. According to a witness; the white Dodge Charger was doing ""burn outs;"" in the middle of High St. The white Dodge Charger lost control and struck unit #2. Two younger black females and one younger male black then exited the vehicle and fled the scene prior to officers arrival. The white Dodge Charger was impounded to the CPD impound lot by Pro Tow."
20223153715,Franklin County,On 7/18/2022 at approximately 6:21 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 122 was dispatched to Parsons Ave. and Mooberry St. in response to a auto accident with injury. Upon arrival officers spoke with the involved parties and determined unit #1 crashed in to the rear of unit #2; which in turn pushed unit #2 into unit #3. The driver of unit #1; Derek Vinicky was issued a citation for ACDA. 
20223155155,Franklin County,Unit 2 stated she was on foot attempting to cross the off ramp from 70 W/B to continue on foot West on E. Livingston Ave and further stated the light was red prior to crossing. Unit 1 stated he was attempting to make a right hand turn off of the on ramp to travel East on E. Livingston Ave and also stated the light was red prior to attempting the turn. During the course of the right hand turn; Unit 1 stated Unit 2 (pedestrian) walked out in front of his vehilce. Unit 2 stated she was struck by Unit 1 while crossing; although Unit 1 denied striking Unit 2.   An independent witness stated Unit 1 did in fact strike Unit 2 causing Unit 2 to fall to the ground. After the collision; both parties got into a minor physical altercation at which time called police from a nearby McDonald's at 1020 Alum Creek Dr.   Unit 2 was transported to OSU East Hospital in stable condition by CFD Medic 815 where she was later treated for minor injuries by Dr. Eric Adkins. The driver of Unit 1 was issued a citation for right of way at a light CCC 2131.18a and given a court date of 7/29/22.
20223155190,Franklin County,Unit #2 stated he was E/B on Livingston Ave. near Alum Creek. He stated that Unit #1 pulled out from the lot of 1887 E Livingston Ave; and he was unable to avoid striking her. He stated that the collision spun his truck up onto the sidewalk; and that Unit #1 was stuck to his vehicle; and he yelled at Unit #1 as she was attempting to free her vehicle from his. He stated after several attempts her vehicle did break free from his. Unit #1 then drove away; and he was able to see that she drove away to the McDonald's at the corner of Alum Creek; and Livingston. She parked the vehicle in front of the McDonald's; and walked away. Unit #2 did get pictures of the vehicle before it fled the area. The owner of the hit skip vehicle was contact by car 140. He stated he sold the vehicle to a male black a while ago. He gave a phone #; but no name 614-966-5516. R/O did attempt to contact the owner; but no one answered.       
20223161758,Franklin County,UNIT 1 WAS PULLING OUT OF THE MCDONALDS AT 4435 EXECUTIVE PKWY. UNIT 2 WAS TRAVELING EASTBOUND ON EXECUTIVE PKWY APPROACHING SUNBURY RD. UNIT 1 PULLED OUT OF THE PARKING LOT; TURNING EASTBOUND ON EXECUTIVE PKWY. UNIT 1 STRUCK UNIT 2 IN THE PASSENGER SIDE WHEEL AREA.
20223164538,Franklin County,Unit 2 stated that he was riding his bicycle westbound in the bike lane on Morse Rd approaching the Dunkin Donuts entrance when Unit 1 made a right hand turn in front of him which resulted in him striking Unit 1.  After he struck Unit 1 he flipped over the vehicle and landed on the pavement.  Unit 1 did not stop and sped away last seen headed northbound on Maize Rd.  Unit 2 stated that he was having hand pain and wanted a medic to respond.  CFD medic 24 responded and transported him to Riverside Methodist Hospital in stable condition to be treated by the medical staff.  Unit 2 stated that he was not able to get the license plate of the vehicle.  Responding Officer talked to management of Dunkin Donuts to see if they had video footage of the incident; to which they stated that they do but the manager was not currently there so  they had no way to access the footage today.
20223167545,Franklin County,Crash occurred at the intersection of East Main Street and South Grant Avenue. Driver of Unit #2 stated that while driving westbound on East Main Street Unit #1 rear-ended her while coming out of the McDonald's parking lot (381 East Main Street). Driver of Unit #2 stated that the driver of Unit #1 was a lightskinned black female. Per the witness and Driver of Unit #1 the suspect vehicle was a grey or beige Hyundai Sonata license plate HXS5343 that continued northbound onto South Grant Avenue. Officers attempted to locate the vehicle and driver at the listed address foudn through LEADS; 4383 Belcher Court. 
20223173187,Franklin County,Unit #1 was making a left turn to go southbound from the McDonald's parking lot on the east side of Alum Creek Dr.  Unit #2 was traveling northbound on Alum Creek Dr. just south of the McDonald's and approaching E. Livingston Ave.  Unit #1 exited the parking lot causing the front of Unit #2 to strike the front driver's side of Unit #1.  Unit #1 was broke down and disabled; blocking northbound traffic on Alum Creek Dr.  The driver of Unit #1 was transported to Grant Hospital by CFD Medic 815 in stable condition.  Officers followed up at Grant Hospital and issued the driver of Unit #1 a citation for failing to yield.  Both vehicles were towed from scene.
20223175974,Franklin County,On 9/14/2022 at approximately 3:41 PM; Officer A. McDonald #2811 and Officer E. Bateman #2578; wearing the uniform of the day and working CPD PTV 128 were dispatched to E. Main St. at Fairwood Ave. in response to a blocking auto accident with property damage only. Upon arrival; Officer McDonald spoke with a witness who identified herself as Chelsea Pegler.Ms. Pegler stated that she observed the driver of unit #1 fail to yield while making a left hand turn resulting in the auto accident. Officer McDonald spoke with the driver of unit #2 who was identified by her Oklahoma drivers license as Manfredwina Cole. Ms. Cole stated that she was traveling E/B on E. Main St. approaching Fairwood Ave. Ms. Cole stated that the driver of unit #1 went to make a lefthand turn and pulled in front of her resulting in the accident. Officer Bateman spoke with the driver of unit #1 who was identified by his Wisconsin drivers license as Michael Witter. Ms. Witter stated that he believed that he had a green arrow to turn left at the light. Officers know from years of working the area that their is no green arrow to turn southbound when traveling W/B at the intersection of E. Main St. and Fairwood Ave. Both involved parties vehicles were inoperable and towed at scene for the owners. Ms. Witter was issued a citation for fail to yield from a left hand turn. 
20223178413,Franklin County,On 09/17/22 at approximately 5:45 pm; Officers were dispatched to 3545 S High St on the report of an injury accident. Officers arrived and spoke to Unit #2 (Pedestrian) who stated Unit #  1 was traveling; at a high rate of speed; through the Wendy's parking lot as she was talking. Unit #2 (Pedestrian) stated Unit # 2 was walking  southbound in the Wendy's parking lot/drive through area when Unit # 1 struck her. Unit #2 (Pedestrian) stated the driver of Unit # 1 fled the scene before officers arrived in a Gold pickup Truck northbound on S High St . Unit # 2 (Pedestrian) stated the driver of Unit #1 was a male white; 60-69 years old; with white hair. Unit # 2 (Pedestrian) stated she would be able to identifiy driver of Unit #1; and Unit #1; when she sees them again because driver of Unit #1 frequnts the abovea address;. Unit # 2 (Pedestrian) did not report any injuries and refused medical attention. Officer advised Unit # 2 (Pedestrian) to contact police if she gains knowledge of the correct tag of Unit #1 and any information on driver of Unit #1.
20223182664,Franklin County,Unit #2 driver stated she was parked in the parking lot near the Subway at 5892 Karl Rd. when an employee told her that her car was just hit by a Nissan Altima silver in color.  Unit #2 driver stated she went outside and approached the vehicle attempting to stop it however it continue out onto Karl Rd. northbound without stopping. Unit #2 driver she was able to write down the license plate which was OH tag # JCT8226. The driver was described as being african american wearing a red hat.  Follow up was conducted at the registered address for the Hit/skip unit and contact was made with a juvenile which had Unit #1 owner on the phone. Unit #1 owner agreed to meet at the BP gas station on Sancus Blvd. After meeting with Unit #1 driver she state she was backing up but did not realize she had struck Unit #2 when in parking lot. The hit/skip driver did point out damage to her vehicle on the  rear fender that she believes was from the accident. The hit/skip driver stated she was backing up when the accident occured. The suspect was wearing a red ballcap when she met with officer. Unit #1 driver was issued a citation for hit/skip and given a courtdate of 10/10/22 at the Franklin County Municipal Court. 
20223182763,Franklin County,Unit #1 was stopped in the inside drive-thru lane at the McDonald's located at 1020 Alum Creek Dr.  Unit #2 was stopped in the outside drive-thru lane.  Unit #1 attempted to back up and struck Unit #2.  No injuries reported.
